connector,payment_method,payment_method_type,feature,description,hs_endpoint,cypress_test_status,prod_used,latest_prod_timestamp
adyen,BankRedirect,Blik,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,Eps,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,Ideal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,Ideal,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,BankRedirect,OnlineBankingCzechRepublic,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,OnlineBankingFinland,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,OnlineBankingFpx,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,OnlineBankingPoland,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,OnlineBankingSlovakia,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,OnlineBankingThailand,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,OpenBankingUk,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,OpenBankingUk,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,BankRedirect,Trustly,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,Trustly,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,BankTransfer,BcaBankTransfer,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankTransfer,BniVa,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankTransfer,BriVa,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankTransfer,CimbVa,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankTransfer,DanamonVa,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankTransfer,MandiriVa,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankTransfer,PermataBankTransfer,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankTransfer,Pix,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-21 01:39:00
adyen,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
adyen,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-21 01:39:08
adyen,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
adyen,CardRedirect,Benefit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,CardRedirect,Knet,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,CardRedirect,MomoAtm,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,GiftCard,Givex,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,GiftCard,PaySafeCard,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,PayLater,Affirm,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,PayLater,AfterpayClearpay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,PayLater,Alma,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,PayLater,Atome,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,PayLater,Klarna,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,PayLater,Klarna,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,PayLater,PayBright,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,PayLater,Walley,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,Alfamart,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,Boleto,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,FamilyMart,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,Indomaret,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,Lawson,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,MiniStop,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,Oxxo,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,PayEasy,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,Seicomart,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Voucher,SevenEleven,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,AliPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,AliPayHk,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,yes,2026-04-17 11:23:03
adyen,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,yes,2026-04-21 01:37:12
adyen,Wallet,ApplePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,Dana,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Dana,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,Gcash,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Gcash,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,GoPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,GoPay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,yes,2026-04-20 21:20:39
adyen,Wallet,GooglePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,KakaoPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,KakaoPay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,MbWay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,MobilePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Momo,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Momo,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,Paypal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Paypal,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,Paze,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,SamsungPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Swish,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,TouchNGo,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Twint,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Twint,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,Vipps,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,Wallet,Vipps,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,Wallet,WeChatPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
affirm,PayLater,Affirm,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
airwallex,BankRedirect,Blik,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
airwallex,BankRedirect,Ideal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
airwallex,BankRedirect,Trustly,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
airwallex,BankTransfer,IndonesianBankTransfer,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
airwallex,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
airwallex,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
airwallex,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
airwallex,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
airwallex,PayLater,Atome,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
airwallex,PayLater,Klarna,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
airwallex,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
airwallex,Wallet,Paypal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
airwallex,Wallet,Skrill,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
amazonpay,Wallet,AmazonPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
archipel,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
archipel,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
archipel,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
archipel,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
archipel,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
authipay,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
authipay,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
authorizedotnet,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-21 01:36:28
authorizedotnet,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
authorizedotnet,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-21 01:36:33
authorizedotnet,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
authorizedotnet,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
authorizedotnet,Wallet,ApplePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
authorizedotnet,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
authorizedotnet,Wallet,GooglePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
authorizedotnet,Wallet,Paypal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
bambora,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
bamboraapac,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
bamboraapac,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
bamboraapac,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
bamboraapac,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
bankofamerica,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
bankofamerica,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
bankofamerica,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
bankofamerica,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
bankofamerica,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
bankofamerica,Wallet,ApplePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
bankofamerica,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
bankofamerica,Wallet,GooglePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
bankofamerica,Wallet,SamsungPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
barclaycard,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
barclaycard,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
barclaycard,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
barclaycard,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
billwerk,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
billwerk,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
bitpay,Crypto,CryptoCurrency,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
blackhawknetwork,GiftCard,BhnCardNetwork,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
bluesnap,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
bluesnap,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
bluesnap,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
boku,Wallet,Dana,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
boku,Wallet,Gcash,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
boku,Wallet,GoPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
boku,Wallet,KakaoPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
boku,Wallet,Momo,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
braintree,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-17 13:13:37
braintree,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
braintree,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-20 07:00:15
braintree,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
braintree,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
braintree,Wallet,ApplePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
braintree,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
braintree,Wallet,Paypal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
breadpay,PayLater,Breadpay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
calida,Wallet,Bluecode,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-18 10:27:41
cashtocode,Reward,ClassicReward,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
cashtocode,Reward,Evoucher,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-21 00:26:16
celero,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
celero,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
checkbook,BankTransfer,Ach,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
checkout,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
checkout,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
checkout,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
checkout,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
checkout,NetworkToken,NetworkToken,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
checkout,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
checkout,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
coinbase,Crypto,CryptoCurrency,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
coingate,Crypto,CryptoCurrency,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
cryptopay,Crypto,CryptoCurrency,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-20 18:03:01
cybersource,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-20 05:58:04
cybersource,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
cybersource,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-21 01:23:28
cybersource,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
cybersource,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,yes,2026-04-01 09:09:40
cybersource,Wallet,ApplePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
cybersource,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,yes,2026-02-27 13:05:44
cybersource,Wallet,GooglePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
cybersource,Wallet,Paze,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
cybersource,Wallet,Paze,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
cybersource,Wallet,SamsungPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
cybersource,Wallet,SamsungPay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
datatrans,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
datatrans,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
datatrans,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
datatrans,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
deutschebank,BankDebit,Sepa,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
deutschebank,BankDebit,Sepa,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
deutschebank,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
deutschebank,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
digitalvirgo,MobilePayment,DirectCarrierBilling,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
dlocal,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
dlocal,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
dlocal,Voucher,Oxxo,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
dwolla,BankDebit,Ach,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
elavon,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
elavon,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
elavon,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
elavon,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
facilitapay,BankTransfer,Pix,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
finix,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-21 00:50:43
finix,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
finix,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,yes,2026-04-18 20:16:26
finix,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
finix,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,yes,2026-04-20 22:18:43
finix,Wallet,ApplePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
finix,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
finix,Wallet,GooglePay,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
fiserv,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
fiserv,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
fiserv,Wallet,ApplePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
fiserv,Wallet,GooglePay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
fiserv,Wallet,Paypal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
fiservcommercehub,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
fiservcommercehub,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,no_cypress_config,no,
